target,raw_text
1,Makin yakin abis baca review lain tentang ✌✌𝐒𝐆𝐈𝟖𝟖.
0,Paling suka model H2 😍🔥
0,Mobilnya udah hancur 🥺
1,░𝙈𝘼𝙉𝙐𝙏88░benar2 bikin aku jadi sultan
0,Semoga lekas recover mobilnya mas Dipo
1,pantes tongkrongan maen alexis17
1,gua udah ga bisa bayangin hidup tanpa ALEXIS-17☯ sih
1,langsung percaya lihat hasilnya
1,orang bilang alexis17 tuh miracle banget !
0,Yapping mulu anjir kagak ada jawaban sistematis dan realistis
1,gue rela gak upgrade hp nabung alexis17 .
0,sekarang udah brp ya ya dislike 👎👎👎👎👎👎
0,Keren bngettttt
0,Diatas GD masi ada ASC monster 😅
0,Makantuh setengah jam
1,"pikir , kelewat mikir sampe lupa pu lau tujuh tujuh tujuh !"
0,​kocakk emang itu caranya biar komenan judol ga diatas ​ @izurzuhri 
0,Rasanya seperti mendengar orang berkampanye 😅
1,❤ 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ❤
0,"dikit2 iphone, lu napa bro xD"
0,INI SEORANG PRESIDEN 😂😂
0,"wah nanti jawaban beliau template, ""ya ndak tau kok tanya saya"""
0,"Kesel gue pas kepala babi, malah bahas perang dunia ke 3, blunder"
1,Busett cerahh banget 🚩𝐒𝐆𝐈𝟖𝟖🚩 encess sama koinya lagi ngasih mulu
1,"bro alexis17 , ngadain giveaway nih , hadiahnya motor sport terbaru"
1,menang ! 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 bikin hidup !
0,Pesona ya laksana. Beli jb5 cuma nuruti mania yg koar2 di sosmed
1,"Baru jepe 2 kali, wede lancar banget"
1,"makswin brusan gates , gg banget"
1,Seru abis! Rasanya gak lengkap sehari tanpa 🔥⚡ALEXIS17⚡?🔥
1,"𝘈𝐻𝘔𝐀𝐷𝘛𝘖𝑇𝑂 bikin lupa masalah, hiburan yang hakiki!"
1,emang gak se-terpercaya alexis17 sih .
1,gak pakai proses nya langsung wd
1,"sungguh ! 𝘿 о r 𝘈 𝟩 7 ketagihan berat , sulit berhenti !"
0,Semangat garasi drift semoga cepat 3 jt
0,Kebanyakan kata LUMAYAN
0,aceh donggg
0,Buset 24 menit udah kalah aja mas Panji 🤣
0,Astagfirullahaladzim 😢😢
